group,bin,n,mean_pred_prob,actual_positive_rate,calibration_gap
majority,"(0.0397, 0.0913]",271,0.0700819881435864,0.025830258302583026,0.04425172984100338
majority,"(0.0913, 0.148]",271,0.116611881576245,0.07011070110701106,0.04650118046923393
majority,"(0.148, 0.443]",262,0.27509416760041017,0.15648854961832062,0.11860561798208955
majority,"(0.443, 0.787]",263,0.650318837863675,0.4790874524714829,0.17123138539219207
majority,"(0.787, 0.919]",271,0.8621697195027661,0.8154981549815498,0.04667156452121635
minority,"(0.0397, 0.0913]",29,0.06711670202562256,0.06896551724137931,-0.0018488152157567495
minority,"(0.0913, 0.148]",29,0.11106262289143035,0.10344827586206896,0.007614347029361382
minority,"(0.148, 0.443]",38,0.2688479107886445,0.18421052631578946,0.08463738447285504
minority,"(0.443, 0.787]",38,0.6667977141893418,0.5,0.16679771418934175
minority,"(0.787, 0.919]",28,0.8685246938002331,0.8928571428571429,-0.02433244905690979
